Ano;Mês;Município;"Valor FOB (US$)";"Quilograma Líquido"
2023;06;"Florianópolis - SC";4437719;2593970
2023;02;"Florianópolis - SC";4435485;6751915
2023;01;"Florianópolis - SC";4366811;2182206
2023;07;"Florianópolis - SC";4104245;3304994
2023;04;"Florianópolis - SC";4056994;7500968
2023;05;"Florianópolis - SC";4031275;5962284
2023;03;"Florianópolis - SC";3970473;4910286
2023;08;"Florianópolis - SC";3900955;3770947
2023;09;"Florianópolis - SC";3267025;5415483
2022;04;"Florianópolis - SC";5918687;8526829
2022;03;"Florianópolis - SC";4964612;8637204
2022;07;"Florianópolis - SC";4402120;1202938
2022;08;"Florianópolis - SC";4273313;2458069
2022;09;"Florianópolis - SC";3792853;4519503
2022;05;"Florianópolis - SC";3764845;3831102
2022;01;"Florianópolis - SC";3703541;6732016
2022;02;"Florianópolis - SC";3006969;6176752
2022;06;"Florianópolis - SC";2320686;1281887
2021;09;"Florianópolis - SC";4869634;6886574
2021;07;"Florianópolis - SC";4744806;7784674
2021;08;"Florianópolis - SC";3966534;5878309
2021;06;"Florianópolis - SC";3113636;4791897
2021;03;"Florianópolis - SC";3005824;3770999
2021;04;"Florianópolis - SC";3001017;1768020
2021;05;"Florianópolis - SC";2929740;2988743
2021;02;"Florianópolis - SC";2332408;1735675
2021;01;"Florianópolis - SC";2314545;2133478
2020;06;"Florianópolis - SC";3034927;4348744
2020;07;"Florianópolis - SC";2870294;6040918
2020;02;"Florianópolis - SC";2323584;6363181
2020;09;"Florianópolis - SC";2235762;4675165
2020;08;"Florianópolis - SC";2229210;5169101
2020;03;"Florianópolis - SC";2211975;3147376
2020;05;"Florianópolis - SC";2131897;4801783
2020;04;"Florianópolis - SC";1786541;2889688
2020;01;"Florianópolis - SC";765093;2066571
2019;05;"Florianópolis - SC";3939799;3762024
2019;03;"Florianópolis - SC";3459222;4150682
2019;04;"Florianópolis - SC";3439402;4989858
2019;02;"Florianópolis - SC";2957193;3211572
2019;09;"Florianópolis - SC";2516397;4647077
2019;08;"Florianópolis - SC";2499830;5890643
2019;07;"Florianópolis - SC";2462140;4475978
2019;01;"Florianópolis - SC";2437008;3677949
2019;06;"Florianópolis - SC";1716505;2155042
2018;03;"Florianópolis - SC";3612378;2472050
2018;02;"Florianópolis - SC";3060347;3296392
2018;05;"Florianópolis - SC";2546548;2771392
2018;04;"Florianópolis - SC";2534324;3503528
2018;01;"Florianópolis - SC";2427236;4414041
2018;07;"Florianópolis - SC";2302916;1292858
2018;06;"Florianópolis - SC";1977388;3414946
2018;09;"Florianópolis - SC";1909358;1576000
2018;08;"Florianópolis - SC";1690465;2213254
2017;03;"Florianópolis - SC";3732276;3236881
2017;06;"Florianópolis - SC";3256635;2387686
2017;07;"Florianópolis - SC";2980365;2144523
2017;08;"Florianópolis - SC";2962652;2566797
2017;09;"Florianópolis - SC";2918196;3653711
2017;01;"Florianópolis - SC";2728272;3678983
2017;04;"Florianópolis - SC";2148699;2319234
2017;05;"Florianópolis - SC";1915546;2663995
2017;02;"Florianópolis - SC";1755623;2240643
2016;03;"Florianópolis - SC";12524696;67552468
2016;06;"Florianópolis - SC";11955858;26894651
2016;05;"Florianópolis - SC";4062749;3478106
2016;07;"Florianópolis - SC";3512253;3264037
2016;08;"Florianópolis - SC";3373652;2518925
2016;09;"Florianópolis - SC";2268770;2891285
2016;04;"Florianópolis - SC";2213360;4110024
2016;01;"Florianópolis - SC";1361829;2247511
2016;02;"Florianópolis - SC";1043993;1532745
2015;03;"Florianópolis - SC";2222487;727025
2015;09;"Florianópolis - SC";1740927;1999393
2015;01;"Florianópolis - SC";1615421;1376955
2015;07;"Florianópolis - SC";1404225;965447
2015;02;"Florianópolis - SC";1122917;956615
2015;08;"Florianópolis - SC";1103663;629213
2015;05;"Florianópolis - SC";965569;1051805
2015;04;"Florianópolis - SC";931869;460291
2015;06;"Florianópolis - SC";881320;1343175
2014;02;"Florianópolis - SC";2581416;3325467
2014;04;"Florianópolis - SC";2232512;430991
2014;05;"Florianópolis - SC";1873106;3313626
2014;03;"Florianópolis - SC";1662250;1554028
2014;01;"Florianópolis - SC";1598338;2376523
2014;08;"Florianópolis - SC";1522235;577611
2014;06;"Florianópolis - SC";1040617;612248
2014;09;"Florianópolis - SC";1029289;986520
2014;07;"Florianópolis - SC";857120;870245
2013;09;"Florianópolis - SC";6183168;1641248
2013;02;"Florianópolis - SC";2134592;939871
2013;03;"Florianópolis - SC";1646045;825541
2013;01;"Florianópolis - SC";1219349;771286
